STATE,RANGE,POP
Montana,30-39,123258
Montana,40-49,115375
Montana,50-59,149908
Montana,60-69,130825
Montana,70-80+,70778
Nebraska,0-10,263142
Nebraska,19-Oct,256619
Nebraska,20-29,258826
Nebraska,30-39,241642
Nebraska,40-49,220256
Nebraska,50-59,253582
Nebraska,60-69,194245
Nebraska,70-80+,107735
Nevada,0-10,366044
Nevada,19-Oct,362571
Nevada,20-29,388209
Nevada,30-39,385546
Nevada,40-49,383702
Nevada,50-59,375487
Nevada,60-69,309245
Nevada,70-80+,174931
New Hampshire,0-10,136597
New Hampshire,19-Oct,168775
New Hampshire,20-29,167491
New Hampshire,30-39,148378
New Hampshire,40-49,183279
New Hampshire,50-59,219895
New Hampshire,60-69,163667
New Hampshire,70-80+,83987
New Jersey,0-10,1083368
New Jersey,19-Oct,1150332
New Jersey,20-29,1139696
New Jersey,30-39,1143727
New Jersey,40-49,1254219
New Jersey,50-59,1326378
New Jersey,60-69,939420
New Jersey,70-80+,525682
New Mexico,0-10,279490
New Mexico,19-Oct,277692
New Mexico,20-29,287227
New Mexico,30-39,256768
New Mexico,40-49,241602
New Mexico,50-59,282482
New Mexico,60-69,237635
New Mexico,70-80+,134009
New York,0-10,2324754
New York,19-Oct,2435368
New York,20-29,2902308
New York,30-39,2607290
New York,40-49,2614334
New York,50-59,2790885
New York,60-69,2079950
New York,70-80+,1162552
North Carolina,0-10,1252371
North Carolina,19-Oct,1298379
North Carolina,20-29,1308343
North Carolina,30-39,1237564
North Carolina,40-49,1336796
North Carolina,50-59,1356619
North Carolina,60-69,1089669
North Carolina,70-80+,613891
North Dakota,0-10,99409
North Dakota,19-Oct,91899
North Dakota,20-29,122789
North Dakota,30-39,92703
North Dakota,40-49,79239
North Dakota,50-59,98934
North Dakota,60-69,74042
North Dakota,70-80+,40661
Ohio,0-10,1418710
Ohio,19-Oct,1528514
Ohio,20-29,1535733
Ohio,30-39,1397793
Ohio,40-49,1481577
Ohio,50-59,1694855
Ohio,60-69,1313052
Ohio,70-80+,733012
Oklahoma,0-10,535123
Oklahoma,19-Oct,518394
Oklahoma,20-29,544561
Oklahoma,30-39,499410
Oklahoma,40-49,460520
Oklahoma,50-59,516499
Oklahoma,60-69,405203
Oklahoma,70-80+,239001
Oregon,0-10,470347
Oregon,19-Oct,484679
Oregon,20-29,533382
Oregon,30-39,536193
Oregon,40-49,502096
Oregon,50-59,540742
Oregon,60-69,486257
Oregon,70-80+,257216
Pennsylvania,0-10,1454767
Pennsylvania,19-Oct,1603710
